"proba","source"
0.342343690341258,"random"
0.326462323103429,"random"
0.295114743780128,"random"
0.288278177122889,"random"
0.251293142897789,"random"
0.282849262681358,"random"
0.182737852244722,"random"
0.246484062759028,"random"
0.237960612345806,"random"
0.281650291266933,"random"
0.258773644357972,"random"
0.239856797562267,"random"
0.232376765870524,"random"
0.328069865685556,"random"
0.249831581303228,"random"
0.258310619254081,"random"
0.227655960227639,"random"
0.304074141483875,"random"
0.269211132466389,"random"
0.291811520434469,"random"
0.313009500167064,"random"
0.247646256532947,"random"
0.233751316686745,"random"
0.296568749396937,"random"
0.272011972250361,"random"
0.281881385311481,"random"
0.292963313276944,"random"
0.233002861291111,"random"
0.285192992180247,"random"
0.352837623810111,"random"
0.24687761542193,"random"
0.234987155310833,"random"
0.276020649367544,"random"
0.184129425361086,"random"
0.228329961483194,"random"
0.245341152225,"random"
0.253833014032361,"random"
0.269199832713583,"random"
0.241139497406028,"random"
0.247203734715262,"random"
0.290663043446028,"random"
0.215554139665361,"random"
0.312743004587366,"random"
0.241390185185167,"random"
0.269980120658,"random"
0.306736083501029,"random"
0.242426179459647,"random"
0.30118764359025,"random"
0.24549797260686,"random"
0.282075422593139,"random"
0.290576513447475,"random"
0.263429161927083,"random"
0.25654082064185,"random"
0.248167843239444,"random"
0.317901021289257,"random"
0.283355198772156,"random"
0.277308606755,"random"
0.293273917398597,"random"
0.230488884366583,"random"
0.269618559080722,"random"
0.274932906199706,"random"
0.261874665027887,"random"
0.292917680464408,"random"
0.291160702556464,"random"
0.230917294848397,"random"
0.283306635467861,"random"
0.388838233348333,"random"
0.210736293253542,"random"
0.399764179396282,"random"
0.263028287572739,"random"
0.175469055756694,"random"
0.295485381591111,"random"
0.221295721268767,"random"
0.275732655543972,"random"
0.271039291297839,"random"
0.3283617853585,"random"
0.267074513755524,"random"
0.29190293928375,"random"
0.278919872900681,"random"
0.220767261054722,"random"
0.293518748701833,"random"
0.244308666996155,"random"
0.298264863401778,"random"
0.252084064492529,"random"
0.275270641839381,"random"
0.231848067700574,"random"
0.263638441948059,"random"
0.351266619452722,"random"
0.303574174087924,"random"
0.274388367504497,"random"
0.319087943201639,"random"
0.227023151245322,"random"
0.259346874485882,"random"
0.261253259053639,"random"
0.215993779103614,"random"
0.219517793837972,"random"
0.218023204589167,"random"
0.326189774292752,"random"
0.229269743755278,"random"
0.298593018733917,"random"
0.253341846736478,"random"
0.297732905660472,"random"
0.283880785204972,"random"
0.302784487010714,"random"
0.277464653077361,"random"
0.310684979676847,"random"
0.247709768348827,"random"
0.236765127717213,"random"
0.237737904283132,"random"
0.27596419545675,"random"
0.272416497170467,"random"
