"id","mean_prob","new_targs"
271,0.2354568845,"no"
272,0.1629521166,"no"
273,0.1450002939,"no"
274,0.1101376666,"no"
275,0.2634620634,"no"
276,0.0466002284,"no"
277,0.1520945005,"no"
278,0.3309394085,"no"
279,0.352865905,"no"
280,0.1157837191,"no"
281,0.413939822,"no"
282,0.483847573,"no"
283,0.1593583394,"no"
284,0.380476139,"no"
285,0.580405753,"no"
286,0.521990776,"no"
287,0.3295979686,"no"
288,0.17405292983,"no"
289,0.0533497818,"no"
290,0.2566173639,"no"
291,0.42874499,"no"
292,0.3509084294,"no"
293,0.765977644,"no"
294,0.0605134176,"no"
295,0.1092883165,"no"
296,0.14864867165,"no"
297,0.240098769,"no"
298,0.862534411,"no"
299,0.0645297653,"no"
300,0.102617812,"no"
301,0.08302427844,"no"
302,0.403817009,"no"
303,0.153931335,"no"
304,0.838841223,"no"
305,0.58976459673,"no"
306,0.20589696021,"no"
307,0.1454748662,"no"
308,0.0845776028,"no"
309,0.047327060959,"no"
310,0.222248834,"no"
311,0.1256954562,"no"
312,0.1590877181,"no"
313,0.1627944775,"no"
314,0.16826995945,"no"
315,0.845203161,"yes"
316,0.4100626246,"no"
317,0.03438067475,"no"
318,0.11017949485,"no"
319,0.1949058662,"no"
320,0.08984935747,"no"
321,0.181234329,"no"
322,0.607930286,"no"
323,0.2879578224,"no"
324,0.471752107,"no"
325,0.2386713375,"no"
326,0.1592374372,"no"
327,0.406572235,"no"
328,0.0900341362,"no"
329,0.6534055944,"no"
330,0.617769756,"no"
331,0.5535242855,"no"
332,0.0717857717,"no"
333,0.061957782885,"no"
334,0.10095092395,"no"
335,0.291316881,"no"
336,0.3219573761,"no"
337,0.1007306405,"no"
338,0.0767419848,"no"
339,0.1473752042,"no"
340,0.2647529944,"no"
341,0.3047252344,"no"
342,0.0912322744,"no"
343,0.440607462,"no"
344,0.229922894655,"no"
345,0.1358670665,"no"
346,0.2830304895,"no"
347,0.166306453727,"no"
348,0.09819294168,"no"
349,0.2960775205,"no"
350,0.1573660646,"no"
351,0.23017816,"no"
352,0.157960776,"no"
353,0.0955166111,"no"
354,0.0616097898,"no"
355,0.284799793,"no"
356,0.0738503223,"no"
357,0.11522862291,"no"
358,0.2387586076,"no"
359,0.0973500188,"no"
360,0.0634418395,"no"
361,0.79460844,"no"
362,0.1022788443,"no"
363,0.4865603425,"no"
364,0.21700691263,"no"
365,0.2756237707,"no"
366,0.1465416815,"no"
367,0.2291154427,"no"
368,0.305519422316,"no"
369,0.918602439,"no"
370,0.0800131738,"no"
371,0.0919611583,"no"
372,0.189279819,"no"
373,0.2401107262,"no"
374,0.1464207146,"no"
375,0.334109055,"no"
376,0.1477839157,"no"
377,0.151074514,"no"
378,0.050930943315,"no"
379,0.2636660468,"no"
380,0.288543467,"no"
381,0.7646304775,"no"
382,0.225304819,"no"
383,0.1148111347,"no"
384,0.397023257,"no"
385,0.2619153466,"no"
386,0.0616340129571,"no"
387,0.1376485235,"no"
388,0.0835729628,"no"
389,0.090598285,"no"
390,0.1173145936,"no"
391,0.0621121136,"no"
392,0.1867854933,"no"
393,0.1974630646,"no"
394,0.2978655225,"no"
395,0.1163185061,"no"
396,0.1459840854,"no"
397,0.15620849705,"no"
398,0.270272954,"no"
399,0.740033359,"no"
400,0.09875445932,"no"
401,0.07723244139,"no"
402,0.0708717202,"no"
403,0.1453198894,"no"
404,0.0785238414,"no"
405,0.1758990805,"no"
406,0.0779173614,"no"
407,0.10306365971,"no"
408,0.07431202093,"no"
409,0.541575458,"no"
410,0.7957965485,"no"
411,0.1810425551,"no"
412,0.353278929,"no"
413,0.1616838594,"no"
414,0.1390454074,"no"
415,0.868219381,"no"
416,0.1368714156,"no"
417,0.067709998,"no"
418,0.2208505736,"no"
419,0.15996412739,"no"
420,0.0851533458,"no"
421,0.4135093394,"no"
422,0.2226252413,"no"
423,0.1373336745,"no"
424,0.250161702,"no"
425,0.1222554333,"no"
426,0.261674655,"no"
427,0.1385604992,"no"
428,0.22922802202,"no"
429,0.0745874583,"no"
430,0.57196148568,"no"
431,0.4108039465,"no"
432,0.6008568206,"no"
433,0.0765005151,"no"
434,0.30148629,"no"
435,0.2737070996,"no"
436,0.0800951307,"no"
437,0.0747987399,"no"
438,0.3172472768,"no"
439,0.0533628063,"no"
440,0.25577629038,"no"
441,0.08222460707,"no"
442,0.5845555985,"no"
443,0.4016937332,"no"
444,0.4889036722,"no"
445,0.2748611098,"no"
446,0.68644474321,"no"
447,0.56479632427,"no"
448,0.686769044,"no"
449,0.664413877,"no"
450,0.503122601,"no"
451,0.2258161,"no"
452,0.118617472,"no"
453,0.802567997,"no"
454,0.4199521852,"no"
455,0.939125122,"no"
456,0.80169054324,"no"
457,0.6097803364,"no"
458,0.512031791,"no"
459,0.2450019225,"no"
460,0.212118726,"no"
461,0.438308236,"no"
462,0.269935372,"no"
463,0.339538259,"no"
464,0.062799774108,"no"
465,0.17713417692,"no"
466,0.094292102,"no"
467,0.0672749458,"no"
468,0.0668956971,"no"
469,0.2753551097,"no"
470,0.03136953542,"no"
471,0.1774500142,"no"
472,0.12420739134,"no"
473,0.431326685,"no"
474,0.0885929406,"no"
475,0.343177331,"no"
476,0.19556859049,"no"
477,0.0814573125,"no"
478,0.0516827623,"no"
479,0.40655503599,"no"
480,0.38383174636,"no"
481,0.2912781777,"no"
482,0.1456429915,"no"
483,0.08101975,"no"
484,0.1369412642,"no"
485,0.1119185693,"no"
486,0.30889272814,"no"
487,0.403285267,"no"
488,0.3015723766,"no"
489,0.0977618216,"no"
490,0.0736808036,"no"
491,0.0677636537,"no"
492,0.1153322338,"no"
493,0.2573706494,"no"
494,0.2212405996,"no"
495,0.08323787248,"no"
496,0.0690044724,"no"
497,0.15133252064,"no"
498,0.0769653207,"no"
499,0.732481526,"no"
