"CV_fold","feature","auc","set"
0,"GiG",0.727755688462695,"Perm"
0,"GiG",0.684753917604999,"Perm"
0,"GiG",0.692171472484881,"Perm"
0,"GiG",0.729125597246817,"Perm"
0,"GiG",0.7155267466337,"Perm"
0,"GiG",0.692037822847406,"Perm"
0,"GiG",0.655083698085469,"Perm"
0,"GiG",0.687426910354506,"Perm"
0,"GiG",0.652577767382806,"Perm"
0,"GiG",0.693975742590798,"Perm"
0,"GiG",0.683718132914565,"Perm"
0,"GiG",0.713020815931037,"Perm"
0,"GiG",0.681212202211901,"Perm"
0,"GiG",0.709011326806776,"Perm"
0,"GiG",0.716295232049183,"Perm"
0,"GiG",0.687560559991981,"Perm"
0,"GiG",0.695178589328077,"Perm"
0,"GiG",0.694744228006281,"Perm"
0,"GiG",0.714591199171372,"Perm"
0,"GiG",0.656821143372649,"Perm"
0,"GiG",0.699455377727288,"Perm"
0,"GiG",0.732834374686759,"Perm"
0,"GiG",0.678305322596812,"Perm"
0,"GiG",0.71121654582512,"Perm"
0,"GiG",0.709211801262989,"Perm"
0,"GiG",0.72244311537305,"Perm"
0,"GiG",0.68037689197768,"Perm"
0,"GiG",0.693708443315847,"Perm"
0,"GiG",0.698386180627485,"Perm"
0,"GiG",0.663837749340105,"Perm"
0,"GiG",0.696615322930937,"Perm"
0,"GiG",0.670620468441979,"Perm"
0,"GiG",0.713388352434094,"Perm"
0,"GiG",0.695145176918708,"Perm"
0,"GiG",0.692806308262889,"Perm"
0,"GiG",0.695178589328076,"Perm"
0,"GiG",0.699054428814862,"Perm"
0,"GiG",0.68298305990845,"Perm"
0,"GiG",0.718667513114371,"Perm"
0,"GiG",0.705636673460523,"Perm"
0,"GiG",0.693808680543954,"Perm"
0,"GiG",0.665074008486752,"Perm"
0,"GiG",0.725216345350663,"Perm"
0,"GiG",0.708075779344449,"Perm"
0,"GiG",0.680443716796418,"Perm"
0,"GiG",0.687827859266932,"Perm"
0,"GiG",0.657856928063083,"Perm"
0,"GiG",0.718934812389321,"Perm"
0,"GiG",0.700023388686558,"Perm"
0,"GiG",0.688596344682415,"Perm"
0,"GiG",0.657689866016238,"Perm"
0,"GiG",0.68472050519563,"Perm"
0,"GiG",0.705803735507367,"Perm"
0,"GiG",0.666711216545825,"Perm"
0,"GiG",0.7155267466337,"Perm"
0,"GiG",0.695145176918708,"Perm"
0,"GiG",0.692004410438037,"Perm"
0,"GiG",0.708710615122456,"Perm"
0,"GiG",0.677369775134485,"Perm"
0,"GiG",0.703297804804704,"Perm"
0,"GiG",0.724548097163286,"Perm"
0,"GiG",0.712152093287447,"Perm"
0,"GiG",0.696013899562298,"Perm"
0,"GiG",0.664338935480637,"Perm"
1,"GiG",0.710147348725317,"Perm"
1,"GiG",0.789735707841893,"Perm"
1,"GiG",0.76043302482542,"Perm"
1,"GiG",0.756490360519897,"Perm"
1,"GiG",0.753650305723546,"Perm"
1,"GiG",0.71983694744228,"Perm"
1,"GiG",0.79354472250994,"Perm"
1,"GiG",0.731330816265161,"Perm"
1,"GiG",0.763640616124829,"Perm"
1,"GiG",0.700791874102041,"Perm"
1,"GiG",0.751411674295833,"Perm"
1,"GiG",0.751612148752047,"Perm"
1,"GiG",0.743860469778476,"Perm"
1,"GiG",0.719335761301747,"Perm"
1,"GiG",0.744862842059541,"Perm"
1,"GiG",0.750877075745932,"Perm"
1,"GiG",0.75468609041398,"Perm"
1,"GiG",0.772561729426309,"Perm"
1,"GiG",0.749841291055498,"Perm"
1,"GiG",0.755153864145143,"Perm"
1,"GiG",0.758595342310134,"Perm"
1,"GiG",0.733736509739717,"Perm"
1,"GiG",0.733135086371078,"Perm"
1,"GiG",0.716562531324134,"Perm"
1,"GiG",0.76561194827759,"Perm"
1,"GiG",0.777740652878479,"Perm"
1,"GiG",0.730261619165358,"Perm"
1,"GiG",0.754752915232717,"Perm"
1,"GiG",0.721641217548198,"Perm"
